"phone","total_revenue"
"354615066969","211.55"
"214756839122","208.58"
"391065549876","194.61"
"963369996279","191.62"
"563660187896","189.60"
"762361821578","183.63"
"72136330362","167.67"
"615964523510","167.62"
"727785483194","166.61"
"206169448769","162.67"
"236679267178","161.68"
"622884741180","158.65"
"562370137426","157.69"
"45554316010","156.66"
"195337700615","154.66"
"538241037443","152.71"
"209342540247","152.69"
"440365973660","152.68"
"855863906434","151.73"
"978430786151","151.69"
"506134035434","151.68"
"478380208348","149.69"
"251164340471","149.61"
"95666951770","147.71"
"892775750063","146.68"
"135117278909","146.68"
"998009777982","146.68"
"408304391718","146.67"
"262744791493","145.70"
"99883471275","145.64"
"307703950263","144.70"
"102396298916","144.68"
"55477302294","144.66"
"282667506728","143.70"
"118011831565","143.68"
"627924259271","142.70"
"175283210378","142.69"
"192459639410","142.67"
"245477603573","142.66"
"378318851631","141.71"
"875756771675","141.69"
"675120358494","140.69"
"568367775448","139.72"
"320471479776","139.69"
"787654415858","139.69"
"663449333709","139.67"
"792557457753","138.69"
"18461860151","138.65"
"198123170793","137.72"
"701457319790","137.70"
"575081026569","137.67"
"970638808606","135.72"
"898559280434","135.70"
"278669994384","135.68"
"410877354933","134.73"
"769370126331","134.72"
"191958435142","134.71"
"765345144779","134.70"
"756460337785","134.70"
"646237101779","134.69"
"990911107354","134.68"
"10655648674","134.65"
"53912826864","133.72"
"1483365694","133.71"
"734780743462","133.70"
"264286442804","133.68"
"475553436330","132.72"
"383353187467","132.70"
"821476736117","132.65"
"206060652238","131.74"
"695479687538","131.73"
"262076994845","131.69"
"490211944645","131.69"
"448477190408","130.76"
"45387294817","130.72"
"716571220373","130.72"
"868602816371","130.70"
"697656479977","130.68"
"525518075499","130.68"
"824370924746","129.72"
"817740355461","129.71"
"709935135487","129.70"
"201705577290","129.68"
"508348602835","128.73"
"890283544295","128.71"
"484292626944","128.71"
"48417642933","128.70"
"331132568928","128.69"
"72524459905","127.73"
"469738825391","127.73"
"574973479129","127.69"
"581852137991","127.69"
